연번,가격,상품명,상세정보
21,"208,000원",게이밍 컴퓨터 조립PC 3D게임용 나이트크로우 사무용 게임용 주식용 컴본체 사무용01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 6세대, CPU : 코어i3-6100, 메인보드 : (인텔) H110칩셋속도(기본클럭) : 3.7GHz코드명 : 스카이레이크(6세대)"
22,"399,000원",조립 PC 게이밍 컴퓨터 본체 게임용 고사양 데스크탑 롤 오버워치 배그 풀세트 사무용1번,"종류 : 조립형PC, CPU제조사 : AMD, 램규격 : DDR4코드명 : 애슬론품목 : 데스크탑
기간한정 파격 2배 이벤트! 매월 1분 추첨하여 1대더 보내드립니다!"
23,"449,000원",게이밍 조립 컴퓨터 세트 조립PC 롤 발로란트 오버워치 배그 바른컴퓨터 본체 풀세트F11,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, 메인보드 : (AMD) A320, 칩셋램용량 : 8GB, 램규격 : DDR4, SSD용량 : 500GB"
24,"447,500원",해외BEELINK SER8 8845HS 고성능 미니PC 베어본 미니PC AMD 라이젠7,"종류 : 베어본PCCPU제조사 : AMD, CPU종류 : 라이젠 7속도(기본클럭) : 3.8GHz색상 : 실버 그레이품목 : 미니PC"
25,"349,000원",게이밍 조립컴퓨터 오버워치2 배그 롤 피파 데스크탑 고사양 컴퓨터 본체 PC 이달의상품,"종류 : 조립형PC, CPU제조사 : 인텔랜 : 유선랜단자 : D-Sub DVI HDMI, 운영체제 bit : 64bit형태 : 타워형색상 : 블랙특징 : 게이밍(게임용)품목 : 데스크탑"
26,"1,100,000원",조립PC RTX 4060 Ti 고사양 게이밍 게임용 영상편집 주식용 데스크탑 컴퓨터 PC07,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600     
3만원할인or게이밍키드마우스세케이스무료변경  포토리뷰시 4000원지급"
27,"1,499,000원",삼성전자 일체형 PC 올인원 프로 AI 울트라5 RAM 16GB 256GB,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : Ultra5-125H, CPU종류 : 코어 울트라5코어종류 : 14코어램용량 : 16GB, SSD용량 : 256GB"
28,"1,249,000원",삼성전자 일체형PC 올인원PC CPU-i7 RAM 8GB NVMe 512GB 윈도우탑재,"CPU제조사 : 인텔CPU : 코어i7-1360P, CPU종류 : 코어i7 13세대
(포토리뷰) 한컴2024 & 배민상품권 2만원"
29,"218,000원",삼성 윈도우11설치 컴퓨터 본체 고성능 최신 게임용 업무용 사무용 01,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-7500, CPU종류 : 코어i5 7세대코어종류 : 4코어, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB, SSD용량 : 256GB"
30,"최저2,100,000원",몬스타 가츠 영상편집 2024,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700K, , 그래픽 : 지포스 RTX4060, 메인보드 : (인텔)B760M, 칩셋램용량 : 64GB, 램규격 : DDR5"
