연번,가격,상품명,상세정보
376,"최저739,000원",한성컴퓨터 MX4i565,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB, SSD용량 : 500GB "
377,"1,179,000원",삼성 일체형 올인원 PC L58A 13세대 i5-1340P 선없는 컴퓨터 업무용 인강용 (256GB 램 8GB),"CPU제조사 : 인텔CPU : 코어i5-1340P, CPU종류 : 코어i5 13세대코어종류 : 12코어램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.5GHz부스트클럭 : 4.6GHz "
378,"최저1,840,000원",삼성전자 삼성 DM970AGA-LC71G,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : Ultra7-155H, CPU종류 : 코어 울트라7램용량 : 16GB, SSD용량 : 512GB터보부스트 : 4.8GHz  "
379,"375,000원",사무용 컴퓨터 조립PC 홈오피스 i5 6500 포토샵 캐드 데스크탑 마이컴 컴퓨터 본체,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-6500, CPU종류 : 코어i5 6세대코어종류 : 4코어, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB  "
380,"399,000원",포토샵 컴퓨터 일러스트 프리미어 프로 애펙 캐드 영상 편집 웹 디자이너 디자인 PC 사양,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스GT1030, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB"
381,"최저482,000원",IGNIQ 이그닉리트 올인원PC 27A 2세대 Win11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-N5095, CPU종류 : 셀러론램용량 : 4GB, SSD용량 : 128GB속도(기본클럭) : 2.0GHz         "
382,"218,000원",삼성 슬림 컴퓨터 본체 I5-6500 사무용 가정용 데스크탑 PC 윈도우10,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-6500, CPU종류 : 코어i5 6세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 128GB  "
383,"970,000원",주식용 컴퓨터 PC 사무용 조립PC 주식전용 HTS 코인 거래용 모니터 2대 4대 연결,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 10세대, CPU : 코어i5-11400F, 메인보드 : (인텔)B560, 칩셋램용량 : 16GB속도(기본클럭) : 2.6GHz부스트클럭 : 4.4GHz             "
384,"1,080,000원",라이젠 7500F RTX 4060 게이밍 컴퓨터 배그 발로란트 로아 옵치 롤 컴퓨터 견적,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060램용량 : 16GB, 램규격 : DDR5, SSD용량 : 256GBSSD 인터페이스 : NVMeM.2  "
385,"549,000원",바른컴퓨터 조립PC 본체 게이밍 데스크탑 롤 발로란트 배그 게임컴 B01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, 메인보드 : (AMD)A520, 칩셋램용량 : 8GB랜 : 유선랜 무선랜, 운영체제 : 윈도우11"
386,"1,650,000원",산업용PC 1100GB-i7 Intel11세대,페이지 참조
387,"890,000원",파인인포 게임용 라이젠 R5 5600 RTX4060 16GB 게이밍컴퓨터 조립PC 24N01,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600"
388,"599,000원",게이밍 컴퓨터 조립PC i5 6500 GTX1660 롤 로스트아크 디아블로 마이컴 컴퓨터 본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 6세대, CPU : 코어i5-6500속도(기본클럭) : 3.2GHzHDD용량 : 500GB, , 그래픽 메모리 : 2GB케이스분류 : 미들타워"
389,"575,000원",게이밍 컴퓨터 i5-9400F RTX2060S 조립PC 본체,페이지 참조
390,"473,000원",산업용 미니PC JECS-N100B 팬리스PC,페이지 참조
391,"865,000원",게이밍컴퓨터 조립PC 고사양 배그 로스트아크 발로란트 PC방 본체01,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스 RTX4060, 메인보드 : (AMD)A520, 칩셋램용량 : 16GB "
392,"1,290,000원",슈스컴 R5 7500F RTX4060Ti 게이밍 조립PC 컴퓨터 본체,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) B650M, 칩셋램용량 : 16GB, 램규격 : DDR5"
393,"249,000원",레노버 미니PC ThinkCentre M710q i5-6500T 사무용 컴퓨터,페이지 참조
394,"최저479,000원",HP S01-pF3001kl,"품목 : 데스크탑형태 : 슬림형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i3-13100, CPU종류 : 코어i3 13세대코어종류 : 4코어, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB "
395,"628,000원",인싸컴 게이밍컴퓨터 배틀그라운드 오버워치 롤 배그 게이밍 메탈유닛,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-4600G, , 그래픽 : 라데온 Vega 3, 메인보드 : (AMD) A320, 칩셋램용량 : 8GB속도(기본클럭) : 3.7GHz     "
396,"최저1,152,000원",IGNIQ 비와이 27Y 3500 Win11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대코어종류 : 6+4코어램용량 : 16GB, SSD용량 : 512GB     "
397,"최저1,349,000원",한성컴퓨터 TFG AX3i506i,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13500, CPU종류 : 코어i5 13세대코어종류 : 14코어, 메인보드 : (인텔)B760램용량 : 16GB    "
398,"최저296,010원",주연테크 굿워크 D1v32G,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : AMDCPU : 라이젠3-3200G, CPU종류 : 라이젠 3코어종류 : 4코어, 메인보드 : (AMD) B450, 칩셋램용량 : 8GB        "
399,"1,837,000원",고성능 게임용 7500F 컴퓨터 4070 SUPER데스크탑 HG07,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB랜 : 유선랜, 운영체제 : OS미포함 윈도우10 "
400,"146,280원",삼성전자 가정용 사무용 교육용 주식용 정품 윈도우 리퍼중고,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
401,"최저1,490,000원",몬스타 가츠 게이밍컴퓨터 크리프 AMD 7500F RX6800,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 라데온 RX-6800, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB, 램규격 : DDR5"
402,"최저1,042,900원",포유컴퓨터 포유컴 R7 3700X + 외장형 그래픽카드,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-3700X, , 그래픽 : 지포스RTX3070, 메인보드 : (AMD) B450, 칩셋램용량 : 16GB터보부스트 : 4.4GHz"
403,"최저519,000원",한성컴퓨터 프리워커 F2300W,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-10100, CPU종류 : 코어i3 10세대코어종류 : 4코어, 메인보드 : (인텔)H510, 칩셋램용량 : 8GB   "
404,"최저268,990원",웨이코스 씽크웨이 Touch MINI Power Z83 PLUS,"품목 : 미니PC형태 : 큐브형특징 : 사무용CPU제조사 : 인텔, CPU종류 : 아톰코어종류 : 4코어램용량 : 4GB속도(기본클럭) : 1.44GHz부스트클럭 : 1.92GHz "
405,"최저889,980원",영웅 913 게이밍울트라560TX,"종류 : 베어본PCCPU제조사 : AMDCPU : 라이젠5-5600X, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB, 램규격 : DDR4, SSD용량 : 256GB"
406,"599,000원",수냉쿨러 게이밍 컴퓨터 조립PC i5 9400F GTX1660S 가성비 데스크탑 본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400F, , 그래픽 : 지포스GTX1660Super, 메인보드 : (인텔) H310, 칩셋램용량 : 16GB, 램규격 : DDR4       "
407,"520,000원",캐드용컴퓨터 오토캐드 3D맥스 스케치업 라이노 엔스케이프 그래픽용작업용PC PC01,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600G, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB속도(기본클럭) : 3.9GHz부스트클럭 : 4.4GHz"
408,"최저942,340원",HP 27-cr0004kr,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : AMDCPU : 라이젠7-7730U, CPU종류 : 라이젠 7코어종류 : 8코어램용량 : 8GB, SSD용량 : 512GB    "
409,"최저825,000원",LG전자 B81KV-AX3509,"품목 : 데스크탑형태 : 타워형CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대코어종류 : 6+4코어, 메인보드 : (인텔)B660, 칩셋램용량 : 8GB        "
410,"최저1,177,060원",HP 엘리트데스크 800 G9R TWR 9D6K2PT,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13500, CPU종류 : 코어i5 13세대코어종류 : 14코어램용량 : 8GB, SSD용량 : 512GB        "
411,"최저849,000원",삼성전자 삼성 DM500SFZ-AD3A,출시년도 : 2023년형
412,"최저630,980원",레노버 AIO3-24ALC6 R5,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : AMDCPU : 라이젠5-5500U, CPU종류 : 라이젠 5코어종류 : 6코어램용량 : 8GB, SSD용량 : 256GB    "
413,"658,710원",해외비링크 BEELINK SER8 미니PC 8845HS 그레이 32G+1TB 관부가세 포함,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
414,"최저608,990원",HP S01-pF3000KL,"품목 : 데스크탑형태 : 슬림형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대코어종류 : 10코어, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB  "
415,"800,000원",파이코인 노드 컴퓨터(32코어 64스레드 500기가),"종류 : 베어본PCCPU제조사 : 인텔, CPU종류 : 제온"
416,"최저1,134,670원",한성컴퓨터 보스몬스터 DX 7800AX3D,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어     "
417,"최저479,000원",HP 파빌리온 TP01-2022KL,"품목 : 데스크탑특징 : 사무용CPU제조사 : AMDCPU : 라이젠3-5300G, CPU종류 : 라이젠 3코어종류 : 4코어, 메인보드 : (AMD)B550, 칩셋램용량 : 8GB, SSD용량 : 256GB        "
418,"최저453,800원",아싸컴 i사무용3 O3,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100F, , 그래픽 : 지포스GT710, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB속도(기본클럭) : 4.3GHz     "
419,"699,840원",인텔 i5 12400F GTX1660 Super 컴퓨터 조립PC 데스크탑 게이밍 868,신한/롯데/현대/KB국민/삼성 100만원 이상 결제 시 최대 22개월 무이자
420,"129,000원",레노버 미니PC M72e tiny 펜티엄 램8G SSD256GB Win11,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔, CPU종류 : 펜티엄램용량 : 8GB, SSD용량 : 256GB, , 그래픽 : 인텔HD, 램규격 : DDR3, 운영체제 : 윈도우11 "
421,"최저1,399,000원",LG전자 27V70N-GR5SK,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-10210U, CPU종류 : 코어i5 10세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 512GB"
422,"448,000원",게이밍컴퓨터 풀세트 롤 발로란트 배그 게임용 조립PC 본체 G01,"종류 : 조립형PC, 형태 : 타워형특징 : 게이밍(게임용)품목 : 데스크탑무상AS : 1년"
423,"최저3,204,340원",HP ENVY 34-c1000KR,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 12코어       "
424,"최저579,000원",MSI DP180 404XKR i5-12400,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-12400, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB       "
425,"최저939,000원",한성컴퓨터 TFG MX4A5646,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-5600, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB  "
426,"173,100원",해외[7일배송] FIREBAT T8 프로 플러스 미니 PC 윈도우 포함 인텔 N100 게이밍 컴퓨터 16GB 램 512GB nvme DD,신한/롯데/현대/KB국민/삼성 100만원 이상 결제 시 최대 22개월 무이자
427,"169,000원",에스PC 조립컴퓨터 윈도우11 사무용 가정용 매장용 인강용 미니 화이트 컴퓨터본체 1번,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 2세대, 메인보드 : (인텔) H61, 칩셋램용량 : 8GB속도(기본클럭) : 3.3GHz터보부스트 : 3.3GHz, 램규격 : DDR3       "
428,"299,000원",HP 미니 PC 엘리트데스크 800 G4 i5 8500T 사무용 업무용 슬림형,"종류 : 베어본PC, CPU종류 : 코어i5 8세대, CPU : 코어i5-8500T, , 그래픽 : 인텔UHD630, 메인보드 : (인텔) H310, 칩셋램용량 : 8GB속도(기본클럭) : 3.5GHz, 램규격 : DDR4L    "
429,"최저1,502,000원",IGNIQ 비와이 27Z 3700 Win11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대코어종류 : 8+8코어램용량 : 16GB, SSD용량 : 1TB      "
430,"최저969,000원",삼성전자 삼성 DM500TCA-A58A,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-10400, CPU종류 : 코어i5 10세대코어종류 : 6코어램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.9GHz    "
431,"최저539,000원",한성컴퓨터 F12550,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-12500, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB  "
432,"최저1,990,000원",삼성전자 삼성 DM500TFB-AC71B,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i7-13700, CPU종류 : 코어i7 13세대램용량 : 16GB, SSD용량 : 512GB속도(기본클럭) : 2.1GHz부스트클럭 : 5.1GHz    "
433,"최저2,399,000원",HP OMEN 25L GT15-1000KR,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-13700F, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)H770, 칩셋램용량 : 16GB   "
434,"885,000원",게이밍 중고컴퓨터추천 배그 오버워치 롤,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
435,"1,140,000원",중고컴퓨터추천 i7 조립컴퓨터 12700F,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 12세대, CPU : 코어i7-12700F, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
436,"549,000원",게이밍 조립 컴퓨터 고사양 게임용 PC 데스크탑 본체 배그 발로란트 디아블로 오버워치 롤,"종류 : 조립형PC, CPU제조사 : 인텔램용량 : 16GB, 램규격 : DDR4, SSD용량 : 256GBSSD 인터페이스 : NVMe랜 : 유선랜 1Gbps단자 : DisplayPort D-Sub DVI HDMI"
437,"179,000원",삼성 컴퓨터 본체 사무용 PC 조립 데스크탑 SSD탑재 슬림형 DB400,"CPU제조사 : 인텔, CPU종류 : 코어i3 6세대, CPU : 코어i3-6100, , 그래픽 : 인텔HD530, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB속도(기본클럭) : 3.7GHz, 램규격 : DDR4"
438,"299,000원",주식용 컴퓨터 다중 모니터 2대 4대 사무용 코인 거래용 주식 조립 본체 사양 온컴PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14400F, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB속도(기본클럭) : 2.5GHz부스트클럭 : 4.7GHz"
439,"680,000원",가성비보장 게이밍조립컴퓨터 12400F 16G,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
440,"950,000원",HP 컴퓨터 S01 PF4001KL 슬림형 14세대 i3 14100 32G SSD 1T + 1T 윈도우11프로 사무용컴퓨터,"CPU : 코어i3-14100, CPU종류 : 코어i3 14세대, SSD용량 : 1TBHDD용량 : 1TB
포토상품평 작성시 2만원 신세계 상품권 증정(일주일내 작성+구매확정)"
441,"1,514,000원",게이밍컴퓨터 5600X RTX4070 SUPER 고사양 게임용 데스크탑 배틀그라운드 스팀,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600X, , 그래픽 : 지포스 RTX4070, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB, 램규격 : DDR4   "
442,"최저859,000원",LG전자 B81LV-AX3509,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13400, CPU종류 : 코어i5 13세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB    "
443,"319,000원",HP 미니PC 인텔 i5 ProDesk 400G4 컴퓨터 미니 데스크탑 본체 가정용 사무용,"종류 : 베어본PCCPU제조사 : 인텔, CPU종류 : 코어i5 8세대, CPU : 코어i5-8500T램용량 : 8GB, SSD용량 : 256GB단자 : DisplayPort USB2.0(2개) USB3.0(4개)"
444,"699,000원",일체형PC 27인치 i5-11 올인원PC 윈도우11 웹캠포함 키보드마우스 16G/240G AP-2711,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5, CPU종류 : 코어i5 11세대코어종류 : 4코어램용량 : 16GB, SSD용량 : 240GB속도(기본클럭) : 2.4GHz, , 그래픽 : 인텔IrisXe    "
445,"최저779,000원",LG전자 24V50N-GR35K,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-10110U, CPU종류 : 코어i3 10세대코어종류 : 4코어, 메인보드 : (인텔) H310, 칩셋램용량 : 4GB "
446,"2,290,000원","B3)배그용 QHD 풀옵 컴퓨터 7800x 3D, 4070 SUPER",페이지 참조
447,"최저1,578,320원",레노버 리전 T5 26AMR R9 3060Ti,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠9-5900X, CPU종류 : 라이젠 9코어종류 : 12코어, 메인보드 : (AMD)B550, 칩셋램용량 : 32GB      "
448,"최저1,119,000원",HP ProOne 440 G9R 9E3T1PT,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13500, CPU종류 : 코어i5 13세대코어종류 : 14코어, 메인보드 : (인텔)Q670, 칩셋램용량 : 8GB    "
449,"최저689,280원",삼성전자 삼성 DM500SCA-A38,"품목 : 데스크탑, SSD용량 : 256GB속도(기본클럭) : 3.6GHzHDD용량 : 1TB, 운영체제 : 윈도우10 홈ODD : DVD-Dual랜 : 유선랜 1Gbps단자 : USB2.0 USB3.0"
450,"최저379,000원",한성컴퓨터 프리워커 F2300,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-10100, CPU종류 : 코어i3 10세대코어종류 : 4코어, 메인보드 : (인텔)H510, 칩셋램용량 : 8GB   "
451,"362,000원",중고 본체 컴퓨터 PC i5 9400F GTX1060 3G JB91,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400F, , 그래픽 : 지포스GTX1060, 메인보드 : H310M, 칩셋램용량 : 16GB, 램규격 : DDR4"
452,"443,000원",조립pc 롤 오버워치 발로란트 배그 서든 데스크탑 컴퓨터 본체01번,"종류 : 조립형PC, CPU제조사 : 인텔램용량 : 16GB, 램규격 : DDR4, SSD용량 : 512GB"
453,"최저659,000원",디클 A27B i5 2K,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-11400, CPU종류 : 코어i5 11세대코어종류 : 6코어, 메인보드 : (인텔)B560, 칩셋램용량 : 8GB      "
454,"50,000원",[대여] 고사양컴퓨터대여 게임용 PC렌탈 RTX2070 8GB 단기임대 기간 선택가능,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i7-9700K, , 그래픽 : 지포스RTX2070, 메인보드 : (인텔) Z390, 칩셋램용량 : 32GB속도(기본클럭) : 3.6GHz, 램규격 : DDR4   "
455,"최저599,590원",포유컴퓨터 포유컴 R5-3600/GTX1660/16G/SSD 240G(3600),"CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-3600, , 그래픽 : 지포스GTX1660, 메인보드 : (AMD) B450, 칩셋램용량 : 16GB속도(기본클럭) : 3.6GHz     "
456,"최저1,199,800원",LG전자 24V50N-GR56K,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-10210U, CPU종류 : 코어i5 10세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 256GB    "
457,"599,000원",삼성 컴퓨터 i7-10700 DB400TDA 사무용 데스크탑 PC 본체 정품 윈도우11 Pro,"CPU제조사 : 인텔CPU : 코어i7-11700, CPU종류 : 코어i7 10세대속도(기본클럭) : 4.7GHz코드명 : 코멧레이크(10세대)"
458,"최저1,522,560원",프리플로우 ULTRA GAMING F5 G7S,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) B650M, 칩셋램용량 : 32GB  "
459,"최저592,000원",인텔 NUC11TNKi3,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 11세대, CPU : 코어i3-1115G4속도(기본클럭) : 2.2GHz터보부스트 : 4.1GHz, 램규격 : DDR4 "
460,"최저1,397,040원",HP 파빌리온 27-CA1002KR,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-12400T, CPU종류 : 코어i5 12세대코어종류 : 6코어램용량 : 8GB, SSD용량 : 512GB   "
461,"최저999,000원",프리플로우 ULTRA GAMING i5 D5 12th,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3050, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB"
462,"698,000원",조립컴퓨터 게이밍PC 갓성비 끝판왕 AMD 3700X RTX 2060 배그풀옵 마이컴,"CPU제조사 : AMD, CPU종류 : 라이젠 7 PROCPU : 라이젠7-3700X속도(기본클럭) : 3.7GHz코드명 : 마티스(라이젠3세대)"
463,"259,000원",DELL 미니 PC OPTIPLEX 5050 i5 7500T 가정용 사무용,"종류 : 베어본PCCPU제조사 : 인텔, CPU종류 : 코어i5 7세대, CPU : 코어i5-7400T, , 그래픽 : 인텔HD630, 메인보드 : (인텔) H110, 칩셋램용량 : 8GB속도(기본클럭) : 2.7GHz     "
464,"최저2,379,000원",한성컴퓨터 TFG AX3A707iRX3,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어  "
465,"149,800원",[렌탈] 컴퓨터 대여 렌탈 RTX3070 30일,페이지 참조
466,"최저2,749,000원",HP OMEN 45L GT22-1001KL,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠7-7800X3D, CPU종류 : 라이젠 7코어종류 : 8코어      "
467,"최저539,000원",DELL 인스피론 DN3030T-UB01KR,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-14100, CPU종류 : 코어i3 14세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 512GB    "
468,"1,249,000원",[신모델] 삼성 일체형PC 올인원PC 윈도우 설치 13세대 i7 SSD 512GB 가정용 사무용 컴퓨터 삼성데스크탑,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1360P, CPU종류 : 코어i7 13세대램용량 : 8GB, SSD용량 : 512GB속도(기본클럭) : 2.8GHz  "
469,"350,000원",애플 썬더볼트 27인치 모니터 Apple Thunderbolt Display 맥북 아이맥 시네마,페이지 참조
470,"322,830원",해외GMKtec 데스크탑 미니 PC 게이밍 컴퓨터 AMD 라이젠 7 7840HS 윈도우 11 프로 DDR5 NVME SSD PCIE WIFI6 BT5.2 22.5G K6,페이지 참조
471,"최저4,580,000원",HP gt22-2001kl,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-14700K코어종류 : 20코어, 메인보드 : (인텔)Z790램용량 : 32GB      "
472,"최저845,920원",주연테크 D424F165W,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-12400F, CPU종류 : 코어i5 12세대, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB, SSD용량 : 256GB  "
473,"최저1,099,000원",한성컴퓨터 보스몬스터 AX 560ANFB,"품목 : 데스크탑형태 : 타워형CPU제조사 : AMDCPU : 라이젠5-7500F, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650, 칩셋램용량 : 16GB, SSD용량 : 500GB"
474,"최저411,190원",주연테크 굿워크 D1v12400,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-12400, CPU종류 : 코어i5 12세대코어종류 : 6코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB       "
475,"56,050원",HP HP 씬 클라이언트 T620 AMD 듀얼 4G 128G 미니PC,연간 4900원으로 신세계 유니버스 클럽 가입하시고 매월 최대 15%할인&무제한 5% 할인 기회를 놓치지 마세요! 추가로 스타벅스와 이마트 할인 혜택도 있어요!
476,"2,026,240원",프리플로우 ULTRA GAMING I5 B7TI_A,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3070 Ti, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB"
