회사명,직무명,링크
㈜마리앙,㈜마리앙 여성의류 매장 경력직 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45303198?rPageCode=SL&logpath=21&sn=6
㈜마른파이브,[커머스/쇼핑몰] 온라인 채널 MD 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45307702?rPageCode=SL&logpath=21&sn=6
㈜KB손해보험,KB손해보험 다이렉트 자동차 상담직원 및 업무지원 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45302771?rPageCode=SL&logpath=21&sn=6
㈜예스런던,아디다스골프 영업/영업관리 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45304085?rPageCode=SL&logpath=21&sn=6
㈜원그레인,"2024 각부문 채용 [자사몰마케터, 영업지원, 자사몰운영MD]",https://www.jobkorea.co.kr/Recruit/GI_Read/45301234?rPageCode=SL&logpath=21&sn=6
인피솔 (INFISOL),"2024년 하반기 상품기획 MD, 상품유통 MD 공개채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45301800?rPageCode=SL&logpath=21&sn=6
㈜ 플랫폼,2024 ㈜플랫폼 온라인 직영몰MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296414?rPageCode=SL&logpath=21&sn=6
미뮤즈,[뮤즈마크]네일팁브랜드 MD / 해외영업MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45301366?rPageCode=SL&logpath=21&sn=6
칸델라,주얼리 쇼핑몰 채널 상담 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45303546?rPageCode=SL&logpath=21&sn=6
㈜루트비,온라인 MD 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45305327?rPageCode=SL&logpath=21&sn=6
제니코식품㈜,제니코식품㈜ [영업부] 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45295676?rPageCode=SL&logpath=21&sn=6
기프트나인,2024 하반기 각 부문 채용 VIP 마케팅/마케팅기획/마케팅MD/온라인MD/영업/영업관리/경리회계/CS/창고물류관리/여행사OP/인턴,https://www.jobkorea.co.kr/Recruit/GI_Read/45231449?rPageCode=SL&logpath=21&sn=6
농업회사법인㈜에스와이리테일코리아,식품 온라인쇼핑몰 MD,https://www.jobkorea.co.kr/Recruit/GI_Read/45289035?rPageCode=SL&logpath=21&sn=6
㈜디엠에이씨 인터내셔널,[삼성전자 온라인 대리점] 온라인 MD팀장 / 기획 마케팅 MD / 온라인 CS,https://www.jobkorea.co.kr/Recruit/GI_Read/45293286?rPageCode=SL&logpath=21&sn=6
㈜용감한미녀들,[정규직] 색조 화장품 상품기획 BM 팀원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45289559?rPageCode=SL&logpath=21&sn=6
㈜슈페리어,(주)슈페리어 이커머스 사업부 온라인 MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45291811?rPageCode=SL&logpath=21&sn=6
㈜레이어,[LAYER] 화장품 책임판매관리자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45292985?rPageCode=SL&logpath=21&sn=6
민영상사,각 부문 채용[영업관리(해외)/상품기획/웹디자인/의상디자인](9시출근-5시퇴근),https://www.jobkorea.co.kr/Recruit/GI_Read/45294855?rPageCode=SL&logpath=21&sn=6
주식회사 시즌리스,의류브랜드 SIE(시에) 온라인 MD 총괄팀장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45293673?rPageCode=SL&logpath=21&sn=6
㈜파마인넷,[파마인넷]건기식/의료기기/화장품 인터넷 쇼핑몰 MD 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45294956?rPageCode=SL&logpath=21&sn=6
㈜선해수산,[㈜선해수산] 생산물류(경기광주) / 유통영업 / 식품연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45289830?rPageCode=SL&logpath=21&sn=6
㈜인트리홀딩스,온라인 영업MD 및 팀장/마케팅 전문가/온라인 쇼핑몰 정산 및 고객관리 담당 직원/물류센터 팀원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45290132?rPageCode=SL&logpath=21&sn=6
㈜에스디생명공학,화장품 해외영업 북미 아마존 온라인 MD,https://www.jobkorea.co.kr/Recruit/GI_Read/45286883?rPageCode=SL&logpath=21&sn=6
