회사명,직무명,링크
(유)투원주류,"[연봉 5,040만] 주류배송직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45303722?rPageCode=SL&logpath=21&sn=6
㈜에이맨,영업/영엽지원/엔지니어/외자구매(F4) 정규직채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45295183?rPageCode=SL&logpath=21&sn=6
㈜동진글로벌로지스틱스,"[항공수출부, 해상수출부, 항공해상수입부, 영업부] 신입 및 경력직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45297283?rPageCode=SL&logpath=21&sn=6
㈜엠엠에이코리아,"의료설비 국내영업, 해외영업 / 생산직 직원채용(신입/경력)",https://www.jobkorea.co.kr/Recruit/GI_Read/45290870?rPageCode=SL&logpath=21&sn=6
㈜ 태종에프디,식품회사 자재 및 물류관리 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45293494?rPageCode=SL&logpath=21&sn=6
탐투스㈜,"탐투스(주) 하반기 디자이너, 기술영업 경력사원 모집공고",https://www.jobkorea.co.kr/Recruit/GI_Read/45284907?rPageCode=SL&logpath=21&sn=6
㈜조은렌탈,"이벤트, 행사 전문 종합 렌탈사 현장직 신입 직원 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45299823?rPageCode=SL&logpath=21&sn=6
인피솔 (INFISOL),"2024년 하반기 상품기획 MD, 상품유통 MD 공개채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45301800?rPageCode=SL&logpath=21&sn=6
㈜스피드랙,[김포] 생산 / 물류 신입사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45304440?rPageCode=SL&logpath=21&sn=6
㈜태평하이진,납품 및 현장 관리 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45300239?rPageCode=SL&logpath=21&sn=6
천일정공사,[정규직] 국내영업 / 자재관리 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45290345?rPageCode=SL&logpath=21&sn=6
바임글로벌㈜,쥬베룩(의료기기) 해외영업/해외마케팅/IT/물류 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296291?rPageCode=SL&logpath=21&sn=6
농업회사법인㈜명우식품,"[주5일] 배송직 - 월 280만 이상, 식대 20만 별도지급 / 신입, 경력직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45299928?rPageCode=SL&logpath=21&sn=6
바이오센서연구소㈜,[바이오센서연구소] 생산/자재/공정관리 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45294382?rPageCode=SL&logpath=21&sn=6
