회사명,직무명,링크
㈜비알피랩스,[아워팜 - 바로팜 자회사] 대구/경북 지역 약국 내 상담 영양사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542283?rPageCode=SL&logpath=21&sn=6
㈜키스템프,[평촌역/월230만/신입가능] 공기업 협회 사무직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542433?rPageCode=SL&logpath=21&sn=6
㈜인터파트,(주)인터파트 - 배송업무 및 영업지원 정규직 채용 [제주지사],https://www.jobkorea.co.kr/Recruit/GI_Read/45542407?rPageCode=SL&logpath=21&sn=6
365엠씨(mc) 인천병원,"365mc 인천병원 수술상담자 채용 (영업/판매/상담경력 우대, 예술회관역)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542400?rPageCode=SL&logpath=21&sn=6
딜리커넥트,"2024년 딜리커넥트 하반기 가맹점 확장 영업, 영업사원 채용공고",https://www.jobkorea.co.kr/Recruit/GI_Read/45542387?rPageCode=SL&logpath=21&sn=6
조엔,영업관리부 사무원 [ERP사용자 우대],https://www.jobkorea.co.kr/Recruit/GI_Read/45542367?rPageCode=SL&logpath=21&sn=6
㈜인터오션,"(주)인터오션 의료기기 영업 및 운영관리(신입, 경력)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542366?rPageCode=SL&logpath=21&sn=6
㈜인챈트,[㈜인챈트] 각 부문별 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541955?rPageCode=SL&logpath=21&sn=6
㈜제이에스인터내셔널 (JSin,[제이에스인터내셔널] 해외영업 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542350?rPageCode=SL&logpath=21&sn=6
㈜이도인터랙티브,부동산 플랫폼 마케팅 및 영업관리,https://www.jobkorea.co.kr/Recruit/GI_Read/45542345?rPageCode=SL&logpath=21&sn=6
바리코퍼레이션㈜,[라이트바겐] 오토바이 영업지원 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542344?rPageCode=SL&logpath=21&sn=6
마이스프로모션,`K-웰니스 브랜드 마케팅` 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542341?rPageCode=SL&logpath=21&sn=6
㈜위너스,영업지원 발주서/출고 관리 및 기타 영업지원,https://www.jobkorea.co.kr/Recruit/GI_Read/45542301?rPageCode=SL&logpath=21&sn=6
