회사명,직무명,링크
동보테크,2024년 부문별 채용 (자동차부품 생산/개발/기술/산업기능요원/품질관리/구매/자재/현장조/반장),https://www.jobkorea.co.kr/Recruit/GI_Read/45296978?rPageCode=SL&logpath=21&sn=6
㈜넥슨스페이스,사내 인테리어 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45303789?rPageCode=SL&logpath=21&sn=6
바임글로벌㈜,쥬베룩(의료기기) 해외영업/해외마케팅/IT/물류 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296291?rPageCode=SL&logpath=21&sn=6
㈜엔피엑스,"(주)엔피엑스 S/W팀, 전자보드제작팀, 기계제작팀 모집 (정규직)",https://www.jobkorea.co.kr/Recruit/GI_Read/45286682?rPageCode=SL&logpath=21&sn=6
두양건축㈜,2024 하반기 정규직 및 계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45285573?rPageCode=SL&logpath=21&sn=6
㈜네오하이테크,전기 전자 자동화라인 자동제어,https://www.jobkorea.co.kr/Recruit/GI_Read/45293749?rPageCode=SL&logpath=21&sn=6
㈜동우팜투테이블,㈜동우팜투테이블 기술직 정규직 모집(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45290228?rPageCode=SL&logpath=21&sn=6
㈜한국피앤피,고객사 PC 및 전산장비 유지보수 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45294510?rPageCode=SL&logpath=21&sn=6
㈜화진티엔아이,[국가재난방재] 2024 설치운영 및 Iot 펌웨어 부문별 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45286030?rPageCode=SL&logpath=21&sn=6
혁진시스템,"레이저/NCT, CAD/CAM 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45291102?rPageCode=SL&logpath=21&sn=6
㈜한스웰,하드웨어 생산관리 및 외주업체관리,https://www.jobkorea.co.kr/Recruit/GI_Read/45290822?rPageCode=SL&logpath=21&sn=6
은민에스엔디,각 부문별 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296349?rPageCode=SL&logpath=21&sn=6
㈜툴스피아,2024년 각 부문 채용[패키지디자인/무역부/물류관리/영업부],https://www.jobkorea.co.kr/Recruit/GI_Read/45291508?rPageCode=SL&logpath=21&sn=6
플랜식스(PLAN6),인테리어 실내건축 설계 신입 및 경력직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45291746?rPageCode=SL&logpath=21&sn=6
㈜하이비젼시스템,PC BASE 제어 엔지니어 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45279780?rPageCode=SL&logpath=21&sn=6
㈜하이비젼시스템,자동화설비/기구설계 경력직 모집(정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45279736?rPageCode=SL&logpath=21&sn=6
㈜아이센스,㈜아이센스 2024년 신입/경력 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45269672?rPageCode=SL&logpath=21&sn=6
㈜포스코인터내셔널,[포스코인터내셔널] 2024년 전문기술직 신입사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45270435?rPageCode=SL&logpath=21&sn=6
에스케이티엔에스,SK TNS 2024년 하반기 전환형 인턴,https://www.jobkorea.co.kr/Recruit/GI_Read/45239177?rPageCode=SL&logpath=21&sn=6
한국지역난방기술,한국지역난방기술㈜ 2024년도 공정관리 인력 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45280423?rPageCode=SL&logpath=21&sn=6
엠디아이코리아㈜,[MDI KOREA] 하반기 전사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45263635?rPageCode=SL&logpath=21&sn=6
㈜진흥테크,CNC 벤딩머신 운용자 채용-성별무관,https://www.jobkorea.co.kr/Recruit/GI_Read/45286840?rPageCode=SL&logpath=21&sn=6
㈜디엔에스코리아,2024년 하반기 해외 영업 및 설계시공 엔지니어 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45285864?rPageCode=SL&logpath=21&sn=6
㈜디자인청춘,인테리어 회사 설계팀 과장급 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45284154?rPageCode=SL&logpath=21&sn=6
신영측기㈜,2024년 신영측기(주) A/S 수리기사 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45287639?rPageCode=SL&logpath=21&sn=6
㈜에이세스,자동화 설비 조립 및 PLC 프로그램 직 사원을 모집 합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45279186?rPageCode=SL&logpath=21&sn=6
㈜지인테크,[CCTV 유통사업부 영업/조달우수제품 영업/조달우수제품 설계] 경력 및 신입 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45273719?rPageCode=SL&logpath=21&sn=6
우영산업㈜,밀링/선반/조립팀 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45279799?rPageCode=SL&logpath=21&sn=6
㈜이티에이,PLC 프로그램 및 현장 시운전 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45282340?rPageCode=SL&logpath=21&sn=6
우영에이디에스,[신입/경력] 정비기사 A/S 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45282136?rPageCode=SL&logpath=21&sn=6
㈜ 옥산석물,"[김제] 자재구매/ 생산실적/ 공무(기계수리, 정비)/ 석재생산직- 상시채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45284714?rPageCode=SL&logpath=21&sn=6
(주)알텍테크놀로지스,(주)알텍 각 부문 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45269797?rPageCode=SL&logpath=21&sn=6
㈜신동영,(주)신동영 생산 / 운전기사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45271426?rPageCode=SL&logpath=21&sn=6
㈜엠제이텍,[기숙사 지원] 각 분야별 채용[영업관리/금형관리/자재관리/공무직],https://www.jobkorea.co.kr/Recruit/GI_Read/45280612?rPageCode=SL&logpath=21&sn=6
㈜인디자인,[인디자인] 본사 (공사부/실시설계/견적/공무/발주)직원 채용 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45284210?rPageCode=SL&logpath=21&sn=6
㈜백조씽크,㈜백조씽크[서울/음성] 각 분야별 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45268807?rPageCode=SL&logpath=21&sn=6
㈜듀어코리아,Mechanical Engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45270554?rPageCode=SL&logpath=21&sn=6
어보브반도체㈜,Automotive MCU Engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/45267898?rPageCode=SL&logpath=21&sn=6
동국제약㈜,동국제약 신입/경력 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45271765?rPageCode=SL&logpath=21&sn=6
㈜소노인터내셔널,대명소노그룹 부문별 신입/경력 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45265200?rPageCode=SL&logpath=21&sn=6
㈜유피케미칼,유피케미칼 동료를 찾습니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45262947?rPageCode=SL&logpath=21&sn=6
에스씨티(SCT),[에스씨티(SCT)] CAD / 사무보조 / 자재관리 채용 모집 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45262893?rPageCode=SL&logpath=21&sn=6
㈜라온테크,기술연구소 로봇시스템팀 제어연구원 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/45261708?rPageCode=SL&logpath=21&sn=6
㈜라온테크,검사자동화본부 채용 공고 (기구설계 부문),https://www.jobkorea.co.kr/Recruit/GI_Read/45261712?rPageCode=SL&logpath=21&sn=6
현대자동차㈜,"현대자동차 경력채용 연구개발, 생산/제조 부문",https://www.jobkorea.co.kr/Recruit/GI_Read/45252783?rPageCode=SL&logpath=21&sn=6
㈜앤씨앤,[앤씨앤/넥스트칩] 2024년 8월 각 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45237512?rPageCode=SL&logpath=21&sn=6
엘앤티렉서스㈜,당신의 최고의 선택 L&T LEXUS - 각 분야별 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45245013?rPageCode=SL&logpath=21&sn=6
㈜디에이피,(주)디에이피 안성공장 2024년 하반기 채용(기숙사 있음),https://www.jobkorea.co.kr/Recruit/GI_Read/45254788?rPageCode=SL&logpath=21&sn=6
㈜시몬스,2024년 하반기 부문별 채용공고(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45253033?rPageCode=SL&logpath=21&sn=6
㈜동보 아산공장,"자동차 부품 생산직 채용(CNC,자동화,기계)[산업기능요원(보충역) 가능]",https://www.jobkorea.co.kr/Recruit/GI_Read/45257477?rPageCode=SL&logpath=21&sn=6
온테크,고전압 시험설비 설치 및 수리 유지보수 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45265120?rPageCode=SL&logpath=21&sn=6
㈜유민에쓰티,"[유민에쓰티] 구매관리 및 제어기 개발, 센서시스템 F/W, 전자공학, 컴퓨터 공학 담당 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45257604?rPageCode=SL&logpath=21&sn=6
㈜엠에이피건축종합건축사사무소,건축설계 경력직 모집합니다.(국내.외 산업설계),https://www.jobkorea.co.kr/Recruit/GI_Read/45251390?rPageCode=SL&logpath=21&sn=6
㈜텔레칩스,SoC Design Engineer (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45252540?rPageCode=SL&logpath=21&sn=6
㈜농심,(주)농심 공무기술직 신입사원 채용(안양/부산),https://www.jobkorea.co.kr/Recruit/GI_Read/45248057?rPageCode=SL&logpath=21&sn=6
㈜웰인더스트리,2024년 기술팀 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45251715?rPageCode=SL&logpath=21&sn=6
㈜인테크코리아,(주)인테크코리아 기구설계개발 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45250918?rPageCode=SL&logpath=21&sn=6
뉴마린엔지니어링㈜,[강소기업] 본사 공사팀 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45254392?rPageCode=SL&logpath=21&sn=6
㈜아이디스,2024년 하계 수시채용 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45243775?rPageCode=SL&logpath=21&sn=6
코멧테크놀로지스코리아㈜,경력 RF Engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45244502?rPageCode=SL&logpath=21&sn=6
㈜한일이앤에스,대전 전산실 전기관리 경력자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45246427?rPageCode=SL&logpath=21&sn=6
CJ 4DPLEX,"[CJ그룹 계열사] CJ 4DPLEX, 영화관 장비 설치 Supervisor 신입/경력직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45242794?rPageCode=SL&logpath=21&sn=6
에이티시스템㈜,[신입가능] 전기제어/기계설계 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45242385?rPageCode=SL&logpath=21&sn=6
㈜위코,기술영업 신입/경력직 채용 (차량제공),https://www.jobkorea.co.kr/Recruit/GI_Read/45242581?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화장비 제조기술 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45233172?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화장비 FA개발 시스템 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45233217?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화장비 제조기술 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45233180?rPageCode=SL&logpath=21&sn=6
어보브반도체㈜,아날로그회로설계 엔지니어 경력 COREIP그룹,https://www.jobkorea.co.kr/Recruit/GI_Read/45231044?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화 기구설계 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45233248?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화 전장설계 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45233232?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화장비 PLC제어 개발 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45233196?rPageCode=SL&logpath=21&sn=6
신비앤텍(주),자동화 기구설계 신입 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45233256?rPageCode=SL&logpath=21&sn=6
