회사명,직무명,링크
㈜메디플러스,병원 의료소모품 수발주 담당자 채용합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45541685?rPageCode=SL&logpath=21&sn=6
주)베스트푸드키즈,유아 급식 배송 직원 구함(주5일),https://www.jobkorea.co.kr/Recruit/GI_Read/45541634?rPageCode=SL&logpath=21&sn=6
㈜스낵포,[(주)스낵포] 구매팀 SCM파트 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541523?rPageCode=SL&logpath=21&sn=6
㈜아이비케이서비스,IBK서비스 본사 관리직 (총무/계약) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536976?rPageCode=SL&logpath=21&sn=6
주식회사 흑토마도,"[천안 성거] 자동차 부품 생산설비관리, 자재관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45534687?rPageCode=SL&logpath=21&sn=6
로지스올엔지니어링㈜,"구매관리, 자재관리, ERP 관리 직원을 모집합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45541377?rPageCode=SL&logpath=21&sn=6
㈜나인벨,[복지우수] 구매담당자 신입직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541376?rPageCode=SL&logpath=21&sn=6
메디팜약품,메디팜약품 구매 및 창고 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541354?rPageCode=SL&logpath=21&sn=6
쿠팡풀필먼트서비스(유),[쿠팡CFS] 고양 1센터 물류센터 운영담당자(Area Manager) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541333?rPageCode=SL&logpath=21&sn=6
엘엔에이치바이오,임플란트 자재관리(사무) 담당자 모집 (인근거주자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/45541316?rPageCode=SL&logpath=21&sn=6
㈜덕양이엔티,본사 자재 및 구매관리담당 업무보조(세종시),https://www.jobkorea.co.kr/Recruit/GI_Read/45541272?rPageCode=SL&logpath=21&sn=6
효성ITX㈜,[효성ITX] ITX 신사업 구매 업무 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45529983?rPageCode=SL&logpath=21&sn=6
이안리테일,[망고매니플리즈/토와브] 물류팀 파트별 팀원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540808?rPageCode=SL&logpath=21&sn=6
모토벨로,(주)모토벨로 물류지원 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541136?rPageCode=SL&logpath=21&sn=6
㈜라이프시맨틱스,[디지털헬스케어/코스닥상장사] 해외 무역 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541035?rPageCode=SL&logpath=21&sn=6
㈜다우텔레콤,자재팀 충원공고 (주임/대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/45541032?rPageCode=SL&logpath=21&sn=6
대진기전㈜,자재 구매팀 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541012?rPageCode=SL&logpath=21&sn=6
㈜케미코,영업관리직 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45540744?rPageCode=SL&logpath=21&sn=6
㈜대진중기부품,중장비부품 입출고 포장 관리 정규직 사원,https://www.jobkorea.co.kr/Recruit/GI_Read/45540689?rPageCode=SL&logpath=21&sn=6
㈜에이치오 글로벌,"[월286만이상] 자동차부품 제품정리, 창고정리 사원",https://www.jobkorea.co.kr/Recruit/GI_Read/45540613?rPageCode=SL&logpath=21&sn=6
㈜대륭개발,(주)대륭개발 판교 현장 5톤 지게차 기사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540592?rPageCode=SL&logpath=21&sn=6
코코,[무역회사] 공장 입출고 관리 및 사무업무,https://www.jobkorea.co.kr/Recruit/GI_Read/45540567?rPageCode=SL&logpath=21&sn=6
㈜이한전자,구매팀 경력직 모집 (자동차부품 제조),https://www.jobkorea.co.kr/Recruit/GI_Read/45540560?rPageCode=SL&logpath=21&sn=6
㈜삼우종합건축사사무소,삼우종합건축사사무소 경력사원 채용(인사/시공/모듈러 분야),https://www.jobkorea.co.kr/Recruit/GI_Read/45540553?rPageCode=SL&logpath=21&sn=6
제이엠테크놀러지,(주간) 자동차부품 자재입출고 피더,https://www.jobkorea.co.kr/Recruit/GI_Read/45540542?rPageCode=SL&logpath=21&sn=6
애경산업㈜,[계약직/무관] 애경산업(주) 생활용품사업부 영업지원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540533?rPageCode=SL&logpath=21&sn=6
㈜금성침대,[금성침대] 출고팀 입출고 담당 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540519?rPageCode=SL&logpath=21&sn=6
농업회사법인㈜다솔,(주)다솔 구매관리팀 채용 / 근무지 장흥,https://www.jobkorea.co.kr/Recruit/GI_Read/45540510?rPageCode=SL&logpath=21&sn=6
㈜유원,보세창고 목재 입출고(지게차운전)관리 신입사원 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/45540442?rPageCode=SL&logpath=21&sn=6
유앤아이글로벌,"매장 배송 운송, 창고관리 담당자를 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45540405?rPageCode=SL&logpath=21&sn=6
㈜도미인터내셔널,온라인 영업 (MD)/물류관리 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537096?rPageCode=SL&logpath=21&sn=6
㈜엠제이코리아,[4조 3교대 / 입출고 관리 / 월 300만 이상] 국내 대기업 물류센터 물류관리원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540318?rPageCode=SL&logpath=21&sn=6
㈜엠제이코리아,[4조 3교대 / 입출고 관리 / 월 300만 이상] 국내 대기업 물류센터 지게차 기사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540374?rPageCode=SL&logpath=21&sn=6
㈜에이텍아이오티,"[평택] 구매 담당자 경력 채용(대리,과장급)",https://www.jobkorea.co.kr/Recruit/GI_Read/45540366?rPageCode=SL&logpath=21&sn=6
㈜에이씨티로지스틱스,[김포고촌-서울 강서 인근]ACT로지스틱스 물류팀 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45540350?rPageCode=SL&logpath=21&sn=6
서영주류판매(유),지게차 운전 사원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45540333?rPageCode=SL&logpath=21&sn=6
㈜래전드산업,전자부품구매(반도체 유경험자) 경력자 우대 -차장급 (근무지 한국),https://www.jobkorea.co.kr/Recruit/GI_Read/45540290?rPageCode=SL&logpath=21&sn=6
㈜옵티멀,전기/전자 구매관리 채용 (신입),https://www.jobkorea.co.kr/Recruit/GI_Read/45540182?rPageCode=SL&logpath=21&sn=6
㈜다전디자인그룹,"(주)다전디자인그룹 2024년 하반기 기술3사업부 (공사,외주 관리) 신입 및 경력 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45540221?rPageCode=SL&logpath=21&sn=6
㈜인화티케이,서울-재고관리&출고외 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540215?rPageCode=SL&logpath=21&sn=6
㈜산하에이치엠서울,밀리토피아호텔 경영지원팀 구매담당 경력직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540201?rPageCode=SL&logpath=21&sn=6
㈜360 퍼스펙티브(360 Perspective),[화장품/주4.5일제] 구매생산 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540056?rPageCode=SL&logpath=21&sn=6
㈜새한이엔지,(포천시) 종합관리직(품질/자재관리) 정규 사원을 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45540036?rPageCode=SL&logpath=21&sn=6
㈜목양산업,구매담당 사무직 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45540010?rPageCode=SL&logpath=21&sn=6
㈜오지구,(주)오지구 재고팀 전자담배 재고팀 아르바이트/물류팀 아르바이트 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45539983?rPageCode=SL&logpath=21&sn=6
㈜엠제이플렉스,[삼성역 기준 도보 2분/연봉 3천 이상] 본사 면세사업부 계약직 채용(경력 무관),https://www.jobkorea.co.kr/Recruit/GI_Read/45539928?rPageCode=SL&logpath=21&sn=6
㈜엔유씨전자,구매원가 사무원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45539922?rPageCode=SL&logpath=21&sn=6
㈜알지티,생산기술 및 재고 및 구매 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/45539827?rPageCode=SL&logpath=21&sn=6
쿠팡풀필먼트서비스,[CFS] 쿠팡 대전1신선센터 정규직 현장관리자(Team Captain) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45539734?rPageCode=SL&logpath=21&sn=6
㈜창영기계,(주)창영기계 구매/외주 관리 직원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45539713?rPageCode=SL&logpath=21&sn=6
케이이티솔루션㈜,자재관리 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45539691?rPageCode=SL&logpath=21&sn=6
아미종합물류㈜,"보세창고 물류센터 입,출고 관리원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45539609?rPageCode=SL&logpath=21&sn=6
㈜디에이피,(주)디에이피 안성공장 2024년 하반기 채용(기숙사 있음),https://www.jobkorea.co.kr/Recruit/GI_Read/45534798?rPageCode=SL&logpath=21&sn=6
㈜신성이엔지,신성이엔지 부문별 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538600?rPageCode=SL&logpath=21&sn=6
㈜이크루즈,한강유람선 (주)이크루즈 총무구매 직원을 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45539231?rPageCode=SL&logpath=21&sn=6
에스에스메디㈜,"온라인몰 운영 및 포장, 재고 관리 가능하신 분을 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/45538813?rPageCode=SL&logpath=21&sn=6
㈜제이에스아이웨어,[정규직] 물류직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538771?rPageCode=SL&logpath=21&sn=6
㈜립슨,온라인 쇼핑몰 물류 입출고 재고관리 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538747?rPageCode=SL&logpath=21&sn=6
