회사명,직무명,링크
㈜제이피코리아,디스플레이 및 반도체 (제조조립팀/설계관리/PLC(제어)/영업/경영지원) 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45539890?rPageCode=SL&logpath=21&sn=6
인테크,[2교대/대기업협력/기숙사/자차/각종수당/장기] 자동차 부품 생산 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542254?rPageCode=SL&logpath=21&sn=6
(주)에스피텍,생산직사원 모집 (FRAME 검사원),https://www.jobkorea.co.kr/Recruit/GI_Read/45542237?rPageCode=SL&logpath=21&sn=6
인테크,[교대/상여100/월400이상/기숙사]자동차 부품 조립 검사 포장 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542232?rPageCode=SL&logpath=21&sn=6
인테크,[주5일/통근/주간/성과금/월320만/기숙사] 자동차부품 생산설비OP 대모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542225?rPageCode=SL&logpath=21&sn=6
인테크,"[기숙사/시급/11,360/통근버스/주간/주급] 7톤미만 지게차 물류 업무",https://www.jobkorea.co.kr/Recruit/GI_Read/45542211?rPageCode=SL&logpath=21&sn=6
인테크,"[시급14,000/400이상/주간/교대/주급/통근] 자동차 유리 생산 사원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542202?rPageCode=SL&logpath=21&sn=6
성화산업㈜,품질관리 신입/경력 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542201?rPageCode=SL&logpath=21&sn=6
㈜대성테크,생산기술팀 관리인원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542184?rPageCode=SL&logpath=21&sn=6
더유제약,2024 더유제약 하반기 특별채용 (생산경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45541453?rPageCode=SL&logpath=21&sn=6
씨엔케어㈜,화장품(젤네일) 제조사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542154?rPageCode=SL&logpath=21&sn=6
애드민,[주안국가산단역/상여/성과] 화장품 생산 오퍼레이터 모집(초보가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45542131?rPageCode=SL&logpath=21&sn=6
제이케이비전㈜,주간 ㆍ 2교대 생산직원 채용(동반입사가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45542089?rPageCode=SL&logpath=21&sn=6
현대방재산업㈜,생산관리(전자제품),https://www.jobkorea.co.kr/Recruit/GI_Read/45542119?rPageCode=SL&logpath=21&sn=6
㈜쿠스코,㈜쿠스코 전 부문 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541206?rPageCode=SL&logpath=21&sn=6
㈜제이솔루션,"전장조립 생산관리자(단축근로,17시퇴근/오산,화성,동탄,평택 생활권/정규직)",https://www.jobkorea.co.kr/Recruit/GI_Read/45541890?rPageCode=SL&logpath=21&sn=6
스텔란티스코리아 ㈜,[수입차] Supplies Quality Engineer (Contractor) 과/차장급,https://www.jobkorea.co.kr/Recruit/GI_Read/45541524?rPageCode=SL&logpath=21&sn=6
㈜피라인모터스,(주)피라인모터스 품질보증팀 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541493?rPageCode=SL&logpath=21&sn=6
㈜메디오젠,(주)메디오젠 생산1팀 공정업무 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541484?rPageCode=SL&logpath=21&sn=6
더블세이프,주식회사 더블세이프 의료기기 RA 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541446?rPageCode=SL&logpath=21&sn=6
㈜유원,"목재생산 가공원(갱립, 몰다, 적재, 포장, 밴딩)구인",https://www.jobkorea.co.kr/Recruit/GI_Read/45541434?rPageCode=SL&logpath=21&sn=6
㈜테키스트,품질관리팀 경력자 인원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541410?rPageCode=SL&logpath=21&sn=6
㈜비쥬웍스,SaMD 의료기기 품질(QA) 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541408?rPageCode=SL&logpath=21&sn=6
㈜유원,목재 열처리가공 소독원 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/45541383?rPageCode=SL&logpath=21&sn=6
메디팜약품,메디팜약품 구매 및 창고 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541354?rPageCode=SL&logpath=21&sn=6
샘표식품㈜,"[샘표식품] 환경에너지 시설 운영(계약직, 이천)",https://www.jobkorea.co.kr/Recruit/GI_Read/45541270?rPageCode=SL&logpath=21&sn=6
㈜일성,"[(주)일성] 제품생산 및 설치, A/S 출장직원모집 (1종 운전가능자)",https://www.jobkorea.co.kr/Recruit/GI_Read/45541185?rPageCode=SL&logpath=21&sn=6
주식회사 뽀득,[뽀득] 야간 생산직 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541168?rPageCode=SL&logpath=21&sn=6
㈜스위트필,[베이커리 기업] 제과/제빵 부문 생산 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541126?rPageCode=SL&logpath=21&sn=6
리을디귿,의류 생산관리 경력직 모집(팀장00명),https://www.jobkorea.co.kr/Recruit/GI_Read/45541083?rPageCode=SL&logpath=21&sn=6
한국전기교통㈜,"[한국전기교통] 교통신호시스템 조립 테스트 / 입,출고 담당",https://www.jobkorea.co.kr/Recruit/GI_Read/45541040?rPageCode=SL&logpath=21&sn=6
㈜다우텔레콤,자재팀 충원공고 (주임/대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/45541032?rPageCode=SL&logpath=21&sn=6
㈜선봉식품,식품 및 해썹(HACCP)팀장 모집(경력 5년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45540989?rPageCode=SL&logpath=21&sn=6
㈜제모피아 인베스트,[제모피아 코리아] 2024 하반기 해외영업/ 재무담당 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540797?rPageCode=SL&logpath=21&sn=6
㈜태정기공,[신입/경력]자동차부품 제조업 MES/원가관리/금형관리/스마트팩토리 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45540788?rPageCode=SL&logpath=21&sn=6
오션스바이오,연구팀 RA 연구원,https://www.jobkorea.co.kr/Recruit/GI_Read/45540331?rPageCode=SL&logpath=21&sn=6
에스제이푸드,[에스제이푸드] HACCP 품질관리 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540685?rPageCode=SL&logpath=21&sn=6
